2026-04-11 15:45:18 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 100, 'batch_size': 2, 'lr': 4e-05, 'num_workers': 4, 'resnet_depth': 18, 'embed_dim': 64, 'dropout': 0.5, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 15, 'max_grad_norm': 1.0, 'scheduler': 'plateau', 'lr_factor': 0.5, 'lr_patience': 2, 'lr_cooldown': 0, 'min_lr': 1e-08, 'compile': False, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-11 15:45:18 | Device: cuda
2026-04-11 15:45:19 | Model parameters: 33,433,409
2026-04-11 15:45:19 | ResNet depth: 18
2026-04-11 16:02:56 | Epoch  57/100 | Loss: 5.6087 | MAE: 8.58 CL | r: 0.9577 | LR: 7.81e-08 | 18.4s | ES patience: 2/15
2026-04-11 16:03:15 | Epoch  58/100 | Loss: 5.4777 | MAE: 8.53 CL | r: 0.9582 | LR: 3.91e-08 | 18.5s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 16:03:34 | Epoch  59/100 | Loss: 5.5907 | MAE: 8.49 CL | r: 0.9575 | LR: 3.91e-08 | 18.6s | ES patience: 0/15 [*]
2026-04-11 16:03:52 | Epoch  60/100 | Loss: 5.6836 | MAE: 8.52 CL | r: 0.9584 | LR: 3.91e-08 | 18.3s | ES patience: 1/15
2026-04-11 16:04:11 | Epoch  61/100 | Loss: 5.6025 | MAE: 8.48 CL | r: 0.9578 | LR: 3.91e-08 | 18.3s | ES patience: 0/15 [*]
2026-04-11 16:04:29 | Epoch  62/100 | Loss: 5.5142 | MAE: 8.52 CL | r: 0.9571 | LR: 1.95e-08 | 18.3s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 16:04:47 | Epoch  63/100 | Loss: 5.7546 | MAE: 8.51 CL | r: 0.9569 | LR: 1.95e-08 | 18.3s | ES patience: 1/15
2026-04-11 16:05:06 | Epoch  64/100 | Loss: 5.4983 | MAE: 8.49 CL | r: 0.9582 | LR: 1.95e-08 | 18.5s | ES patience: 2/15
2026-04-11 16:05:24 | Epoch  65/100 | Loss: 5.5189 | MAE: 8.58 CL | r: 0.9572 | LR: 1.95e-08 | 18.4s | ES patience: 3/15
2026-04-11 16:05:43 | Epoch  66/100 | Loss: 5.4591 | MAE: 8.52 CL | r: 0.9575 | LR: 1.95e-08 | 18.4s | ES patience: 4/15
2026-04-11 16:06:01 | Epoch  67/100 | Loss: 5.5504 | MAE: 8.57 CL | r: 0.9586 | LR: 1.95e-08 | 18.5s | ES patience: 5/15
